y,round
-5.0,0
-5.0,0
-0.5140142615580707,0
-5.0,0
-5.0,0
-5.0,0
-1.7684209111579947,0
-5.0,0
-0.8041609765089374,0
-3.7696763438351137,0
-5.0,0
-3.9662166162091124,0
-2.9360590282576875,0
-5.0,0
-5.0,0
-1.4576385973698025,0
0.32750623718157623,0
-5.0,0
-5.0,0
-5.0,0
-0.7886656697031749,0
-5.0,0
-5.0,0
-5.0,0
-1.2463590329428715,0
-1.527488385181669,0
-5.0,0
-3.4755849567358252,0
-2.6826545809360907,0
-1.1633021603171714,0
-5.0,0
-3.79287155635347,0
-5.0,0
-3.4000538782368404,0
-1.155118334616325,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-1.6685317954712964,0
-1.760722884354606,0
-2.401913060902684,0
-5.0,0
-5.0,0
-5.0,0
-3.337601641189135,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-5.0,0
-3.5177523302224536,0
-5.0,0
0.7714443813413105,0
-3.402493218562086,0
-1.6986370201889716,0
1.080368793238021,0
-5.0,0
-5.0,0
-5.0,0
-2.915721160094272,0
-4.15679597322277,0
-5.0,0
-3.713854696924291,0
-5.0,0
1.1320769257975296,0
-5.0,0
-3.369051504417695,0
1.1027348198025435,0
-5.0,0
-2.250604729990496,0
-3.713757821062151,0
-1.233942020616813,0
-3.1790647272618435,0
-5.0,0
-3.499782961260341,0
-5.0,0
-2.2870439157407443,0
-5.0,0
-3.6866587668820237,0
-3.5385940361119608,0
-5.0,0
-1.6888105374545161,0
-5.0,0
-5.0,0
-2.1327062853744425,0
-5.0,0
-5.0,0
-5.0,0
-3.5838253918702314,0
-1.2280165370906388,0
-5.0,0
-5.0,0
0.3366350972988245,1
0.9292160155385567,1
1.348206557111734,1
1.092943387810045,1
1.2500658291016382,1
-0.2556133173619627,1
-0.6394085902319262,1
1.1696774854686984,1
0.8942877354955929,1
0.7987987695212261,1
0.32750623718157623,1
0.8741063685158506,1
-1.225995558162552,1
1.1951369795277822,1
0.4656208892323774,1
1.2538444898097394,1
0.9652374696203732,1
1.1820791392886447,1
-1.4323388342930878,1
-1.5021100994707304,1
1.0659143880644233,1
1.2913317385394396,1
-0.9825491053644592,1
1.1285392876326612,1
0.950382879774803,1
-0.8326659766369077,1
1.193579892552802,1
1.2869910779402236,1
1.042552628496461,1
0.7285644346092158,1
0.9270542850456631,1
1.2337991584224244,1
1.2501969983203716,1
1.2790211456307938,1
1.249479741480478,1
0.8703683647430648,1
-0.7406776751031245,1
-0.9752217138532213,1
1.193880723412139,1
1.1866695526237305,1
0.9788191411031746,1
1.1764668517132386,1
1.3775787967686837,1
0.8727270202312962,1
0.8928917721356161,1
1.045463190699183,1
0.7987987695212261,1
-1.4136280605383067,1
-0.7688083662108118,1
0.6138696623880954,1
0.8727270202312962,1
0.8741063685158506,1
1.2292657146439305,1
0.35065523200953125,1
1.3129750705105903,1
0.9323897205831976,1
1.2695931853239795,1
-0.4877557130338552,1
1.0768769222100198,1
1.1181691872454458,1
1.30303768118555,1
0.8181347467628869,1
0.464980831893685,1
1.2496269978916157,1
1.0259858617382172,1
1.0659143880644233,1
1.3797270058119155,1
0.8727270202312962,1
0.9710850828923027,1
0.9652374696203732,1
-0.8326659766369077,1
1.2129160930560678,1
0.3374737205647639,1
-0.9760653404187364,1
0.9710850828923027,1
0.9643890400411622,1
-1.1825499284633587,1
1.1764668517132386,1
0.8729823894429432,1
1.1866695526237305,1
1.0822539732470733,1
0.8729823894429432,1
-0.2556133173619627,1
